Order,Family,Species_name,Weight,No_of_datasets,Ln,Pn,Pin,Ls,Ps,pnps,diversity,Pis,log_Pis,L4,P4,Pi4,Range,log_Range,migrant,longevity,log_Longevity,Body_mass,log_Bodymass,BMR,log_BMR,Range_type,No_of_ranges,Area,log_Area,Average_latitude,Latitude,log_Latitude,Latitude_migrants,Average_longitude
Passeriformes,Acanthizidae,Acanthiza nana,3053.5488,1,729.33,3,0.00094923,254.67,17,0.1667,-0.77815125,0.017519,-1.756490687,199,11,0.015462,2790000,6.45,nonmigrant,,,6.5,0.812913357,,,1,1,189.6568016,2.277968422,-29.9937914,29.9937914,1.477031367,,146.2274973
Passeriformes,Acrocephalidae,Acrocephalus arundinaceus,778.5,1,384.33,3,0.0052038,134.67,4,0.6,-0.22184875,0.019802,-1.703290944,102,4,0.026144,24500000,7.39,migrant,10.1,1.004321374,28.8,1.459392488,0.257,-0.590066877,2,1,1164.092817,3.065987609,50.49666912,50.49666912,1.703262732,3.1,50.46432216
Passeriformes,Acrocephalidae,Acrocephalus familiaris,2902.3764,1,459,0,0,147,0,,,0,,111,0,0,2,0.3,nonmigrant,5,0.698970004,18.3,1.26245109,,,1,2,0.000508483,-3.293723562,25.1189,25.1189,1.400000617,,-169.0528913
Passeriformes,Acrocephalidae,Acrocephalus melanopogon,2686.8807,1,459.67,3,0.00039992,161.33,3,0.75,-0.124938737,0.001414,-2.849550591,128,1,0.00070944,13600000,7.13,migrant,11.2,1.049218023,10.75,1.031408464,,,,,,,,,,,
Passeriformes,Acrocephalidae,Acrocephalus palustris,6201.7074,2,1062,6,0.000511416,366,70,0.0845,-1.073107098,0.012960073,-1.887392552,283,49,0.012219561,9490000,6.98,migrant,9.8,0.991226076,11.9,1.075546961,0.203,-0.692503962,2,1,789.1985,2.897186251,51.854863,51.854863,1.714789491,,33.20526194
Passeriformes,Acrocephalidae,Acrocephalus scirpaceus,2109.7032,1,349.33,1,0.0001145,121.67,21,0.0455,-1.342422681,0.020645,-1.685185113,96,14,0.018308,65300000,7.81,migrant,14,1.146128036,12.3,1.089905111,,,,,,,,,,,
Charadriiformes,Scolopacidae,Actitis hypoleucos,5001.7068,1,785,13,0.00057813,253,14,0.8667,-0.062147907,0.0042357,-2.373074807,181,4,0.0025142,47200000,7.67,migrant,11,1.041392685,63,1.799340549,,,2,1,3729.013,3.571593897,55.9037549,55.9037549,1.747440979,,82.67436897
Caprimulgiformes,Trochilidae,Adelomyia melanogenys,13947.372,3,2380.67,47,0.003369805,799.33,415,0.113,-0.946995473,0.133396342,-0.874856079,543,232,0.110555263,4450000,6.65,nonmigrant,,,4.65,0.667452953,,,1,1,51.27011319,1.709864276,-4.7584248,4.7584248,0.67746321,,-73.2920018
Passeriformes,Aegithalidae,Aegithalos bonvaloti,7258.032,2,1424,1,0.000259302,478,10,0.0909,-1.041392685,0.003488782,-2.457326167,362,5,0.001990871,728000,5.86,nonmigrant,,,6.75,0.829303773,,,1,1,13.6076165,1.133782061,28.39743273,28.39743273,1.453279079,,100.368875
Passeriformes,Aegithalidae,Aegithalos caudatus,10269.7875,2,1521.67,13,0.001068892,503.33,60,0.2131,-0.671386483,0.02790448,-1.554326066,376,31,0.018330418,44600000,7.65,migrant,11.1,1.045322979,8.3,0.919078092,0.199,-0.701146924,1,1,2433.224036,3.386182098,53.6537935,53.6537935,1.729600433,,76.44866605
Passeriformes,Aegithalidae,Aegithalos concinnus,24575.4309,4,3125.01,36,0.001129383,1047.99,334,0.1075,-0.968742306,0.061175402,-1.213423168,771,195,0.048692882,4080000,6.61,migrant,,,6.35,0.802773725,,,1,1,255.4743715,2.407347339,27.2834942,27.2834942,1.43589999,,107.6689022
Passeriformes,Aegithalidae,Aegithalos fuliginosus,7598.49,2,1424.67,1,4.53E-05,477.33,9,0.1,-1,0.001917884,-2.717177664,362,6,0.001833178,531000,5.73,migrant,,,6,0.77815125,,,1,1,20.66383314,1.315210886,31.8646741,31.8646741,1.503309481,,105.4001694
Caprimulgiformes,Apodidae,Aerodramus fuciphagus,7837.6926,6,2081.997,6,0.000717502,687.003,14,0.4,-0.397940009,0.007752457,-2.110560634,523,7,0.005056311,8910000,6.95,migrant,,,11.75,1.070037867,,,1,1,134.3634493,2.128281144,0.86479876,0.86479876,-0.063084942,,114.206398
Passeriformes,Leiotrichidae,Alcippe morrisonia,2870.6832,1,437.33,2,0.00019139,156.67,87,0.0227,-1.643452676,0.15218,-0.81764242,122,55,0.10684,4630000,6.67,nonmigrant,,,15.5,1.190331698,,,1,1,280.1760415,2.447430995,25.89328687,25.89328687,1.413187183,,107.3708422
Galliformes,Phasianidae,Alectoris magna,2250.4212,1,623.67,2,0.001158,204.33,6,0.2857,-0.544068044,0.0081566,-2.088490835,157,5,0.0092003,676000,5.83,nonmigrant,,,553,2.742725131,,,1,2,63.03063725,1.799551698,36.7348263,36.7348263,1.565077991,,100.2804842
Passeriformes,Tyrannidae,Alectrurus risora,1897.992,1,486.67,2,0.0007472,161.33,10,0.1818,-0.740362689,0.012171,-1.914673738,124,7,0.011437,132000,5.12,nonmigrant,,,,,,,1,3,88.99684596,1.949374616,-31.618815,31.618815,1.49994559,,-59.58166637
Caprimulgiformes,Trochilidae,Amazilia cyanocephala,2348.5824,1,404.67,13,0.0033996,117.33,2,4.3333,0.636822098,0.00066845,-3.174931072,87,2,0.00090151,788000,5.9,nonmigrant,,,5.5,0.740362689,,,1,2,25.73935571,1.410597672,16.4449658,16.4449658,1.216032975,,-91.27885314
Caprimulgiformes,Trochilidae,Amazilia tzacatl,2944.989,1,781.67,6,0.0021891,259.33,21,0.2727,-0.56427143,0.032134,-1.493035211,192,6,0.0097222,3770000,6.58,nonmigrant,,,5.075,0.705436047,,,1,3,85.3392466,1.931148804,1.68795656,1.68795656,0.227361266,,-81.67628339
Psittaciformes,Psittacidae,Amazona aestiva,2483.46,1,384,1,6.68E-05,120,15,0.0625,-1.204119983,0.015837,-1.800327083,89,9,0.019625,5800000,6.76,nonmigrant,49,1.69019608,400,2.602059991,,,1,1,363.1208423,2.560051177,-18.8546376,18.8546376,1.275418189,,-54.39709311
Psittaciformes,Psittacidae,Amazona farinosa,1588.5,1,801.67,3,0.0024948,257.33,14,0.2,-0.698970004,0.036269,-1.440464419,189,7,0.024691,11900000,7.08,nonmigrant,,,650.5,2.813247301,,,1,1,556.8954385,2.745773661,-3.84388641,3.84388641,0.584770545,,-63.3278012
Passeriformes,Passerellidae,Ammodramus maritimus,3230.4312,1,780.67,3,0.00059121,260.33,7,0.375,-0.425968732,0.0041367,-2.383345974,199,5,0.0038655,2250000,6.35,nonmigrant,9,0.954242509,23.8,1.376576957,,,,,,,,,,,
Passeriformes,Passerellidae,Amphispiza belli,4890.3255,1,862.67,1,0.00016116,280.33,23,0.0417,-1.380211242,0.023248,-1.633614403,211,10,0.011374,453000,5.66,nonmigrant,9.1,0.959041392,14.75,1.16879202,,,,,,,,,,,
